book-imbalance-0.2-5-1,mid_price,timestamp
-1085.28,37651000.0,2022-05-19 00:00:00.195381
-1036.96,37651000.0,2022-05-19 00:00:01.195373
-759.747,37651900.0,2022-05-19 00:00:02.195330
-840.787,37649600.0,2022-05-19 00:00:03.195291
-2146.87,37645700.0,2022-05-19 00:00:04.195262
-3359.86,37619000.0,2022-05-19 00:00:05.195229
-2534.49,37635300.0,2022-05-19 00:00:06.195183
-2562.15,37635800.0,2022-05-19 00:00:07.195173
549.128,37632000.0,2022-05-19 00:00:08.195228
549.128,37632000.0,2022-05-19 00:00:09.195237
-1210.39,37641000.0,2022-05-19 00:00:10.195160
-1444.13,37643200.0,2022-05-19 00:00:11.195176
-897.504,37643800.0,2022-05-19 00:00:12.195354
-361.618,37638200.0,2022-05-19 00:00:13.195353
-2527.19,37641300.0,2022-05-19 00:00:14.195264
-1497.7,37638500.0,2022-05-19 00:00:15.195280
-1361.93,37639400.0,2022-05-19 00:00:16.195354
-1757.17,37639000.0,2022-05-19 00:00:17.195397
-1614.71,37637700.0,2022-05-19 00:00:18.195278
-2565.58,37639400.0,2022-05-19 00:00:19.195368
-2397.71,37639600.0,2022-05-19 00:00:20.195419
-2116.36,37638800.0,2022-05-19 00:00:21.195319
-3359.86,37619000.0,2022-05-19 00:00:22.195258
-1868.22,37645300.0,2022-05-19 00:00:23.195337
-1235.72,37650500.0,2022-05-19 00:00:24.195268
-1852.62,37649000.0,2022-05-19 00:00:25.195253
-3359.86,37619000.0,2022-05-19 00:00:26.195238
509.489,37648400.0,2022-05-19 00:00:27.195267
-3359.86,37619000.0,2022-05-19 00:00:28.195277
1022.19,37648800.0,2022-05-19 00:00:29.195216
-3359.86,37619000.0,2022-05-19 00:00:30.195243
694.801,37648400.0,2022-05-19 00:00:31.195374
1479.51,37646200.0,2022-05-19 00:00:32.195301
-3359.86,37619000.0,2022-05-19 00:00:33.195210
1028.69,37645900.0,2022-05-19 00:00:34.195185
1028.69,37645900.0,2022-05-19 00:00:35.195193
-3359.86,37619000.0,2022-05-19 00:00:36.195395
900.156,37656100.0,2022-05-19 00:00:37.195336
425.194,37654800.0,2022-05-19 00:00:38.195256
416.609,37654300.0,2022-05-19 00:00:39.195201
509.731,37653100.0,2022-05-19 00:00:40.195244
1086.76,37652700.0,2022-05-19 00:00:41.195371
1485.7,37651700.0,2022-05-19 00:00:42.195345
152.768,37652000.0,2022-05-19 00:00:43.195248
-477.087,37651200.0,2022-05-19 00:00:44.195245
-486.987,37647200.0,2022-05-19 00:00:45.195228
46.0522,37646100.0,2022-05-19 00:00:46.195252
-490.315,37646100.0,2022-05-19 00:00:47.195283
-496.542,37646700.0,2022-05-19 00:00:48.195305
-742.113,37644800.0,2022-05-19 00:00:49.195309
-503.154,37644800.0,2022-05-19 00:00:50.195373
-516.968,37645800.0,2022-05-19 00:00:51.195333
-516.968,37645800.0,2022-05-19 00:00:52.195304
-763.36,37646900.0,2022-05-19 00:00:53.195282
-593.413,37644600.0,2022-05-19 00:00:54.195244
-407.208,37645900.0,2022-05-19 00:00:55.195297
-388.776,37645900.0,2022-05-19 00:00:56.195220
-697.025,37644700.0,2022-05-19 00:00:57.195219
-774.706,37645600.0,2022-05-19 00:00:58.195189
-1529.83,37645800.0,2022-05-19 00:00:59.195210
