book-imbalance-0.2-5-1,mid_price,timestamp
359.253,38234900.0,2022-05-20 00:00:00.195286
-283.334,38232100.0,2022-05-20 00:00:01.195247
396.386,38239200.0,2022-05-20 00:00:02.195250
428.019,38239200.0,2022-05-20 00:00:03.195289
704.869,38236300.0,2022-05-20 00:00:04.195259
-531.242,38239200.0,2022-05-20 00:00:05.195291
-533.931,38240700.0,2022-05-20 00:00:06.195226
-347.71,38242600.0,2022-05-20 00:00:07.195384
1109.36,38242400.0,2022-05-20 00:00:08.195356
822.164,38241900.0,2022-05-20 00:00:09.195316
219.326,38246100.0,2022-05-20 00:00:10.195335
598.989,38246200.0,2022-05-20 00:00:11.195265
1704.6,38248800.0,2022-05-20 00:00:12.195282
1039.85,38252400.0,2022-05-20 00:00:13.195306
1039.85,38252400.0,2022-05-20 00:00:14.195289
1246.13,38253700.0,2022-05-20 00:00:15.195223
592.948,38252300.0,2022-05-20 00:00:16.195219
619.953,38249500.0,2022-05-20 00:00:17.195162
-289.222,38252500.0,2022-05-20 00:00:18.195187
241.915,38248600.0,2022-05-20 00:00:19.195189
377.314,38246400.0,2022-05-20 00:00:20.195259
1404.76,38251600.0,2022-05-20 00:00:21.195222
426.094,38252400.0,2022-05-20 00:00:22.195316
738.507,38253800.0,2022-05-20 00:00:23.195381
1622.97,38254700.0,2022-05-20 00:00:24.195497
359.253,38234900.0,2022-05-20 00:00:25.195432
303.108,38254900.0,2022-05-20 00:00:26.195315
303.108,38254900.0,2022-05-20 00:00:27.195297
-479.896,38258700.0,2022-05-20 00:00:28.195348
-1217.57,38258600.0,2022-05-20 00:00:29.195338
-1092.48,38257800.0,2022-05-20 00:00:30.195210
-5.83609,38255400.0,2022-05-20 00:00:31.195318
-1092.48,38257800.0,2022-05-20 00:00:32.195319
844.364,38253600.0,2022-05-20 00:00:33.195269
179.176,38254800.0,2022-05-20 00:00:34.195274
359.253,38234900.0,2022-05-20 00:00:35.195403
-522.663,38254800.0,2022-05-20 00:00:36.195288
-1130.33,38254200.0,2022-05-20 00:00:37.195257
-522.663,38254800.0,2022-05-20 00:00:38.195314
-521.331,38254800.0,2022-05-20 00:00:39.195546
-521.331,38254800.0,2022-05-20 00:00:40.195351
359.253,38234900.0,2022-05-20 00:00:41.195228
-521.331,38254800.0,2022-05-20 00:00:42.195271
